idindikator;IDTer;nTer;IDJavniSEK;nJavniSEK;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040404IND02;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2015;60708;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2015;59484;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2015;57129;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2015;57224;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2015;69008;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;00;2015;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;00;2015;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;00;2015;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;0;Total;00;2016;63474;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2016;79019;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2016;66077;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2016;61113;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2016;90298;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2016;63177;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2016;60405;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2016;58288;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2016;58070;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2016;69602;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;00;2016;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;00;2016;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;00;2016;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;0;Total;00;2017;65976;RSD;RSD;SORS;Average gross earnings;A;Normal value
