idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
24021308IND01;70505;Dimitrovgrad;K1;2016;2;Female;991;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70513;Doljevac;K1;2016;0;Total;3878;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70513;Doljevac;K1;2016;1;Male;2280;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70513;Doljevac;K1;2016;2;Female;1598;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70521;Žabari;K1;2016;0;Total;1705;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70521;Žabari;K1;2016;1;Male;1121;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70521;Žabari;K1;2016;2;Female;583;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70530;Žagubica;K1;2016;0;Total;2217;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70530;Žagubica;K1;2016;1;Male;1443;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70530;Žagubica;K1;2016;2;Female;774;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70548;Žitorađa;K1;2016;0;Total;2941;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70548;Žitorađa;K1;2016;1;Male;1836;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70548;Žitorađa;K1;2016;2;Female;1105;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70556;Zaječar;K1;2016;0;Total;13143;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70556;Zaječar;K1;2016;1;Male;7474;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70556;Zaječar;K1;2016;2;Female;5669;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70564;Ivanjica;K1;2016;0;Total;7824;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
