territory_code,territory_name,territory_level,territory_level_order,parent_territory_code,parent_territory_name,country_code,country_name,macro_region_code,macro_region_name,statistical_region_code,statistical_region_name,administrative_district_code,administrative_district_name,local_unit_type,city_group_code,city_group_name,is_in_raw_municipality_file,note
71200,Ćuprija,local_unit,5,RS215,Pomoravska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS215,Pomoravska oblast,municipality,,,True,
71218,Ub,local_unit,5,RS212,Kolubarska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS212,Kolubarska oblast,municipality,,,True,
71226,Crna Trava,local_unit,5,RS224,Jablanička oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS224,Jablanička oblast,municipality,,,True,
71234,Čajetina,local_unit,5,RS211,Zlatiborska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS211,Zlatiborska oblast,municipality,,,True,
71242,Čačak,local_unit,5,RS214,Moravička oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS214,Moravička oblast,municipality,,,True,
71269,Šabac,local_unit,5,RS213,Mačvanska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS213,Mačvanska oblast,municipality,,,True,
71277,Lapovo,local_unit,5,RS218,Šumadijska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS21,Region Šumadije i Zapadne Srbije,RS218,Šumadijska oblast,municipality,,,True,
71285,Niška Banja,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,city_municipality,79022,Grad Niš,True,
71293,Surčin,local_unit,5,RS110,Beogradska oblast,RS,REPUBLIC OF SERBIA,RS1,SRBIJA – SEVER,RS11,Beogradski region,RS110,Beogradska oblast,city_municipality,CITY_BELGRADE,Grad Beograd,True,
71307,Pantelej,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,city_municipality,79022,Grad Niš,True,
71315,Crveni Krst,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,city_municipality,79022,Grad Niš,True,
71323,Palilula (Niš),local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,city_municipality,79022,Grad Niš,True,
71331,Medijana,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,city_municipality,79022,Grad Niš,True,
71340,Kostolac,local_unit,5,RS222,Braničevska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS222,Braničevska oblast,city_municipality,79049,Grad Požarevac,True,
71358,Vranjska Banja,local_unit,5,RS228,Pčinjska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS228,Pčinjska oblast,city_municipality,79057,Grad Vranje,True,
